Brand No.,Horse Name,Date,Surgery
B370,PAKISTAN FRIEND,02/06/2019,Y
C106,GOLDEN MISSION,13/11/2020,N
C240,KA YING MASTER,04/06/2019,Y
C440,SEAWEED FORTUNE,08/10/2019,Y
D051,JIANGXI STAMINA,26/06/2020,Y
D228,GOOD LUCK FRIEND,27/04/2022,N
D235,SUPERB DADDY,18/10/2021,Y
D285,VALIANT ELEGANCE,05/04/2020,Y
D310,RUN RUN GOOD,05/03/2023,N
D367,EXCEPTIONAL NICE,06/04/2022,N
D487,SIGHT HERO,29/04/2022,Y
D498,FORTE,08/07/2022,Y
E031,THIS IS GUTS,01/01/2023,N
E035,GIVE WAY PLEASE,20/05/2021,Y
E052,PANFIELD,12/01/2021,Y
E086,WAH MAY LUCK,14/01/2022,N
E138,NOIR RIDER,17/11/2021,Y
E277,EUROMISSILE,27/01/2021,Y
E321,EXCELLENT DADDY,26/03/2023,N
E348,HELENE ALLIBOR,13/05/2022,Y
E419,INFINITY WIN,24/06/2022,Y
E439,CLASSIC MOON,12/08/2022,Y
G105,TUNG HAYE HAYE,29/09/2022,N
G243,HAPPY MATADOR,07/06/2022,Y
G266,JUMBO LEGEND,26/03/2023,N
G459,INNOCONSTRUCTION,22/12/2021,Y
G475,SUPER WISE DRAGON,23/03/2023,Y
H104,PACHISI,15/03/2023,N
H122,TOURBILLON PRINCE,08/01/2023,N
H142,VICTORY MOMENTS,26/02/2023,N
