Jockey,Win,2nd,3rd,4th,5th,Total Rides,Stakes Won
"

                                        Z Purton
                                    
",116,69,44,51,36,474,"$180,723,135"
"

                                        C Y Ho
                                    
",60,44,61,55,47,497,"$102,462,258"
"

                                        H Bowman
                                    
",43,48,38,25,28,295,"$70,749,520"
"

                                        S De Sousa
                                    
",42,42,36,37,32,378,"$67,274,110"
"

                                        K Teetan
                                    
",39,25,31,33,34,338,"$54,181,900"
"

                                        M Chadwick
                                    
",30,31,24,20,38,336,"$47,408,958"
"

                                        L Hewitson
                                    
",30,21,47,32,49,423,"$42,560,000"
"

                                        K C Leung
                                    
",25,25,28,28,35,402,"$41,396,020"
"

                                        A Badel
                                    
",23,30,23,25,30,322,"$60,727,525"
"

                                        Y L Chung
                                    
",22,31,26,31,18,286,"$35,533,825"
"

                                        L Ferraris
                                    
",21,30,28,27,29,323,"$33,133,375"
"

                                        C L Chau
                                    
",18,29,18,21,19,328,"$29,838,100"
"

                                        M F Poon
                                    
",15,21,27,28,39,357,"$27,695,950"
"

                                        H Bentley
                                    
",14,17,31,30,26,299,"$27,445,875"
"

                                        A Hamelin
                                    
",13,14,19,18,16,271,"$18,731,375"
"

                                        R Maia
                                    
",7,13,12,17,15,200,"$14,768,550"
"

                                        M L Yeung
                                    
",7,11,15,13,11,221,"$12,191,038"
"

                                        L Currie
                                    
",7,10,11,15,14,233,"$15,294,188"
"

                                        V Borges
                                    
",6,17,11,17,17,220,"$18,775,525"
"

                                        K H Chan
                                    
",3,4,8,6,9,108,"$5,490,875"
"

                                        H T Mo
                                    
",2,2,2,5,2,110,"$4,127,025"
"

                                        H N Wong
                                    
",1,6,2,7,3,107,"$3,095,475"
"

                                        C Wong
                                    
",1,2,2,5,0,70,"$1,777,800"
"

                                        H W Lai
                                    
",0,2,3,1,1,31,"$1,308,925"
"

                                            J McDonald
                                        
",5,4,3,3,3,37,"$36,913,800"
"

                                            R Moore
                                        
",5,1,3,4,2,24,"$25,374,390"
"

                                            J Kah
                                        
",3,7,2,0,1,22,"$11,079,440"
"

                                            D Lane
                                        
",2,0,0,0,1,8,"$14,019,000"
"

                                            J McNeil
                                        
",1,3,1,3,6,47,"$2,693,900"
"

                                            B Shinn
                                        
",1,2,4,3,4,31,"$8,565,300"
"

                                            C Lemaire
                                        
",1,1,1,2,0,8,"$6,795,875"
"

                                            H Doyle
                                        
",1,0,1,0,0,8,"$1,891,050"
"

                                            T Marquand
                                        
",1,0,0,1,2,7,"$1,451,070"
"

                                            M Barzalona
                                        
",1,0,0,0,0,4,"$615,600"
"

                                            J Moreira
                                        
",0,5,2,2,3,22,"$4,221,250"
"

                                            Y Kitamura
                                        
",0,1,0,0,0,1,"$7,480,000"
"

                                            W Buick
                                        
",0,1,0,0,0,3,"$6,120,000"
"

                                            D Beasley
                                        
",0,0,0,0,0,1,$0
"

                                            K Maruta
                                        
",0,0,0,0,0,1,$0
"

                                            R Piechulek
                                        
",0,0,0,0,0,1,$0
"

                                            Y Yoshida
                                        
",0,0,0,0,0,1,$0
"

                                            Y Take
                                        
",0,0,0,0,0,3,$0
